"Name","Provider","SKU","Type"
"Safeware 2-Year Extended Warranty + ADP Limited (K12CASECHR400AD24D)","Safeware","K12CASECHR400AD24D","Advanced"
"HP 3-Year Care Pack Extended Warranty + ADP (U36K8E)","HP","U36K8E","Advanced"
"Lenovo 4-Year Advanced Exchange Extended Warranty + ADP Unlimited (5PS0N87364)","Lenovo","5PS0N87364","Advanced"
"Safeware 4-Year Extended Warranty + ADP Limited (K12CASECHR300AD48D)","Safeware","K12CASECHR300AD48D","Advanced"
"Safeware 3-Year Extended Warranty - Limited (K12LAP1000ESP36D)","Safeware","K12LAP1000ESP36D","Advanced"
"Safeware 4-Year Extended Warranty + ADP Limited (K12CASECHR500AD48D)","Safeware","K12CASECHR500AD48D","Advanced"
"Vivacity Tech 2-Year Extended Warranty + ADP Limited (VT2YRADP)","Vivacity Tech","VT2YRADP","Advanced"
"Vivacity Tech 2-Year Extended Warranty + ADP Unlimited (VT2YRADP-UNL)","Vivacity Tech","VT2YRADP-UNL","Advanced"
"Vivacity Tech 3-Year Extended Warranty + ADP Unlimited (VT3YRADP-UNL)","Vivacity Tech","VT3YRADP-UNL","Advanced"
"Vivacity Tech 3-Year Empower Plus Warranty (Touchscreen) - Jeffco (VT-3YR-EMPLUS-TS-JEFFCO)","Vivacity Tech","VT-3YR-EMPLUS-TS-JEFFCO","Advanced"
"Lenovo 3-Year ADP School Year Warranty Add-on (5PS0F04089)","Lenovo","5PS0F04089","Advanced"
"Lenovo 3-Year ADP Add-On (5PS0L30075)","Lenovo","5PS0L30075","Advanced"
"3 Year HP Care Pack Warranty (U9DP6E)","HP","U9DP6E","Advanced"
"Lenovo 4 Year ADP School Year Term Add-On (5PS1H95239)","Lenovo","5PS1H95239","Advanced"
"Dell 3-Year 3 Yr Comprehensive Hardware Support (DL-CHS-3YR)","Dell","DL-CHS-3YR","Advanced"
"Vivacity Tech 2-Year Empower Plus Warranty (Touchscreen) - Jeffco (VT-2YR-EMPLUS-TS-JEFFCO)","Vivacity Tech","VT-2YR-EMPLUS-TS-JEFFCO","Advanced"
"HP Care Pack 3 Year (U06SVE)","HP","U06SVE","Vendor"
"Safeware 3-Year Extended Warranty + ADP Limited (K12CASECHR200AD36D)","Safeware","K12CASECHR200AD36D","Advanced"
"Safeware 2-Year Extended Warranty + ADP Limited (K12CASECHR500AD24D)","Safeware","K12CASECHR500AD24D","Advanced"
"Vivacity Tech 3-Year Extended Warranty + ADP Limited (VT3YRADP)","Vivacity Tech","VT3YRADP","Advanced"
