"Repair Box","Tracking Number From","Shipped From Date","Building","Box Type","Shipping Box Status","Created By","Created Date","Last Modified Date"
"10824","1Z6X34470327238981","08-13-2024 22:06:12","GVL","To Vivacity","Not Shipped","demo_adminsuper@vivacitytech.com","N/A","09-04-2024 12:32:14"
"10822","1Z6X34470330691565","08-13-2024 21:59:01","GVL","To Vivacity","Not Shipped","demo_adminsuper@vivacitytech.com","N/A","09-04-2024 12:40:28"
"10796","1Z6X34470317436606","08-12-2024 19:43:46","GVL","To Vivacity","Not Shipped","demo_adminsuper@vivacitytech.com","N/A","08-12-2024 19:43:47"
"10790","1Z6X34470328206183","08-09-2024 22:51:05","Dream Building","To Vivacity","Not Shipped","Nick Ellison","N/A","08-09-2024 22:51:41"
"10707","1Z6X34470329105423","07-31-2024 00:10:58","GVL2","To Vivacity","Not Shipped","demo_adminsuper@vivacitytech.com","N/A","08-09-2024 21:40:05"
"10687","1Z6X34470331978683","07-26-2024 22:13:56","Alma's Elementary School","To Vivacity","Not Shipped","Mark Baker","N/A","09-19-2024 20:57:54"
"10686","1Z6X34470337972856","07-26-2024 21:47:01","Alma's Elementary School","To Vivacity","Not Shipped","Mark Baker","N/A","09-04-2024 11:22:28"
"10685","1Z6X34470307010567","07-26-2024 20:55:45","Alma's Elementary School","To Vivacity","Not Shipped","Mark Baker","N/A","07-26-2024 20:55:45"
"10652","1Z6X34470335148929","07-23-2024 19:43:42","GVL","To Vivacity","Not Shipped","demo_adminsuper@vivacitytech.com","N/A","07-23-2024 19:43:43"
"10587","1Z6X34470331639405","07-15-2024 20:32:12","GVL","To Vivacity","Not Shipped","Maleja Duque","N/A","07-15-2024 20:32:12"
"10585","1Z6X34470310663463","07-15-2024 20:27:01","GVL","To Vivacity","Not Shipped","Maleja Duque","N/A","07-15-2024 20:27:01"
"10584","1Z6X34470301563052","07-15-2024 20:15:57","Little Free Library","To Vivacity","Not Shipped","demo_adminsuper@vivacitytech.com","N/A","07-15-2024 20:15:58"
"10368","1Z6X34470312350878","06-22-2024 19:30:22","CCDream Test1","To Vivacity","Not Shipped","demo_adminsuper@vivacitytech.com","N/A","06-22-2024 19:30:23"
"10346","1Z6X34470326841606","06-21-2024 20:02:01","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","06-22-2024 03:44:39"
"10186","1Z6X34470305940048","06-13-2024 23:56:33","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","06-13-2024 23:57:42"
"10045","1Z6X34470322553818","06-06-2024 23:50:26","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","06-06-2024 23:51:32"
"9941","1Z6X34470313311980","06-03-2024 21:40:24","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","06-03-2024 21:51:45"
"9804","1Z6X34470313794334","05-29-2024 00:58:31","Greenville Warehouse","To Vivacity","Not Shipped","Ana Endres","N/A","05-29-2024 00:58:31"
"9523","1Z6X34470320455339","05-22-2024 00:08:24","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","05-22-2024 00:10:42"
"9193","1Z6X34470339038255","05-16-2024 00:08:59","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","05-17-2024 03:47:05"
"9163","1Z6X34470324663973","05-15-2024 21:39:03","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","05-15-2024 21:39:03"
"9110","1Z6X34470308830045","05-14-2024 02:09:45","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","05-14-2024 02:34:47"
"9035","1Z6X34470339102229","05-11-2024 01:53:23","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","05-11-2024 03:25:45"
"8913","1Z6X34470314491767","05-09-2024 01:43:21","GVL","To Vivacity","Recieved By Vivacity","Jason Emricson","N/A","05-09-2024 01:43:22"
"8859","1Z6X34470330316194","05-08-2024 20:24:58","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","05-08-2024 20:24:58"
"8856","1Z6X34470329943143","05-08-2024 20:00:27","Remote Cloud Campus","To Vivacity","Not Shipped","Conan Malady","N/A","05-08-2024 20:02:27"
"8750","1Z6X34470332070277","05-04-2024 01:59:21","Greenville Warehouse","To Vivacity","Not Shipped","Madhuri Ravilla","N/A","05-04-2024 01:59:21"
"8731","1Z6X34470313315262","05-04-2024 00:40:23","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","05-04-2024 00:42:02"
"8712","1Z6X34470339785788","05-03-2024 20:55:11","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","05-03-2024 20:56:19"
"8663","1Z6X34470336805298","05-02-2024 23:40:18","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","05-02-2024 23:41:13"
"8648","1Z6X34470311745793","05-02-2024 21:36:16","GVL","To Vivacity","Not Shipped","fx","N/A","05-02-2024 21:36:18"
"8643","1Z6X34470304600738","05-02-2024 21:04:30","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","05-02-2024 21:06:13"
"8579","1Z6X34470321714600","05-01-2024 21:36:44","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","05-01-2024 21:37:52"
"8543","1Z6X34470326621175","05-01-2024 00:14:25","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","05-01-2024 00:15:55"
"8528","1Z6X34470326605746","04-30-2024 21:02:55","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-30-2024 21:04:57"
"8477","1Z6X34470308282307","04-30-2024 01:25:21","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-30-2024 01:27:03"
"8468","1Z6X34470308458083","04-30-2024 00:29:42","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-30-2024 00:31:12"
"8462","1Z6X34470312278251","04-29-2024 23:46:54","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-29-2024 23:46:54"
"8445","1Z6X34470327848661","04-29-2024 21:23:43","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-29-2024 21:26:02"
"8402","1Z6X34470334254333","04-26-2024 20:54:27","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-26-2024 20:56:48"
"8368","1Z6X34470325077873","04-25-2024 21:26:46","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-25-2024 21:29:02"
"8232","1Z6X34470301675440","04-23-2024 22:53:06","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-23-2024 22:54:25"
"8209","1Z6X34470332248728","04-23-2024 21:05:37","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-23-2024 21:07:04"
"8156","1Z6X34470331654139","04-23-2024 00:12:30","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-23-2024 00:14:21"
"8048","1Z6X34470311077596","04-19-2024 00:06:00","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-19-2024 00:06:00"
"8040","1Z6X34470337912947","04-18-2024 23:05:57","Johnson Middle School","To Vivacity","Not Shipped","demo_adminvivacity@vivacitytech.com","N/A","04-18-2024 23:05:57"
"7949","1Z6X34470301107750","04-17-2024 22:04:54","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-17-2024 22:11:43"
"7930","1Z6X34470328776479","04-17-2024 20:58:07","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-17-2024 21:00:05"
"7884","1Z6X34470307473880","04-17-2024 01:35:23","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-17-2024 01:37:36"
"7873","1Z6X34470309897008","04-17-2024 00:09:38","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-17-2024 00:12:35"
"7829","1Z6X34470329357545","04-16-2024 21:48:09","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-16-2024 21:49:42"
"7819","1Z6X34470325448114","04-16-2024 21:02:07","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-16-2024 21:03:25"
"7793","1Z6X34470312055812","04-16-2024 01:23:31","GVL","To Vivacity","Not Shipped","demo_adminvivacity@vivacitytech.com","N/A","04-16-2024 01:23:32"
"7789","1Z6X34470310170183","04-16-2024 01:07:58","GVL","To Vivacity","Not Shipped","Maleja Duque","N/A","04-16-2024 01:07:58"
"7784","1Z6X34470309864276","04-15-2024 23:46:42","GVL2","To Vivacity","Not Shipped","Conan Malady","N/A","04-15-2024 23:48:07"
"7766","1Z6X34470338890942","04-15-2024 21:17:55","GVL2","To Vivacity","Shipping From District","Conan Malady","N/A","04-15-2024 21:19:29"
"7761","1Z6X34470313284840","04-15-2024 20:38:35","Humphrey High","To Vivacity","Not Shipped","demo_adminvivacity@vivacitytech.com","N/A","04-15-2024 20:38:36"
"7740","1Z6X34470312308852","04-15-2024 06:32:52","GVL","To Vivacity","Not Shipped","Jason Emricson","N/A","04-15-2024 06:32:52"
"7739","1Z6X34470305462645","04-15-2024 06:13:55","GVL2","To Vivacity","Not Shipped","Conan Malady","N/A","04-15-2024 06:13:55"
"7649","1Z6X34470330360270","04-12-2024 01:15:45","GVL","To Vivacity","Not Shipped","Maleja Duque","N/A","04-12-2024 01:15:45"
"7610","1Z6X34470337641463","04-11-2024 20:58:29","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-11-2024 21:00:24"
"7602","1Z6X34470307770540","04-11-2024 20:18:05","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-11-2024 20:19:32"
"7531","1Z6X34470328359385","04-10-2024 22:57:56","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-10-2024 22:59:10"
"7499","1Z6X34470338184198","04-10-2024 21:20:07","Humphrey High","To Vivacity","Not Shipped","madhuriravilla","N/A","04-10-2024 21:20:08"
"7480","1Z6X34470316111780","04-10-2024 03:12:00","Midway High","To Vivacity","Not Shipped","Nathan Birch","N/A","04-10-2024 03:12:01"
"7478","1Z6X34470314308367","04-10-2024 02:46:41","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-10-2024 02:46:41"
"7477","1Z6X34470301729954","04-10-2024 02:38:13","GVL2","To Vivacity","Not Shipped","Conan Malady","N/A","04-10-2024 02:38:13"
"7461","1Z6X34470314059547","04-09-2024 23:50:58","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-09-2024 23:52:00"
"7386","1Z6X34470328823659","04-09-2024 03:17:46","GVL","To Vivacity","Not Shipped","Maleja Duque","N/A","04-09-2024 21:06:21"
"7375","1Z6X34470322640554","04-08-2024 23:58:46","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-08-2024 23:59:52"
"7367","1Z6X34470323077457","04-08-2024 22:53:13","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-08-2024 22:53:13"
"7226","1Z6X34470322954626","04-05-2024 02:08:04","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-05-2024 02:21:19"
"7220","1Z6X34470334513919","04-05-2024 00:10:56","GVL","To Vivacity","Recieved By Vivacity","Conan Malady","N/A","04-05-2024 00:12:13"
"7218","1Z6X34470302426510","04-04-2024 23:49:32","Dream Building","To Vivacity","Not Shipped","Maleja Duque","N/A","04-04-2024 23:49:34"
"7156","1Z6X34470331992023","04-04-2024 01:32:52","Humphrey High","To Vivacity","Not Shipped","Maleja Duque","N/A","04-04-2024 01:32:54"
"7129","1Z6X34470310113146","04-03-2024 21:02:05","Proterworth","To Vivacity","Not Shipped","Maleja Duque","N/A","04-04-2024 00:17:09"
"7099","1Z6X34470330704676","04-03-2024 19:47:08","Carlson Elementary","To Vivacity","Not Shipped","demo_adminschooldistrict@vivacitytech.com","N/A","04-03-2024 19:48:05"
"7098","1Z6X34470334528065","04-03-2024 19:47:05","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-03-2024 19:47:06"
"7083","1Z6X34470314801127","04-03-2024 11:35:53","Carlson Elementary","To Vivacity","Not Shipped","demo_adminschooldistrict@vivacitytech.com","N/A","04-03-2024 19:42:04"
"7080","1Z6X34470317527884","04-03-2024 02:04:39","Proterworth","To Vivacity","Not Shipped","demo_adminschooldistrict@vivacitytech.com","N/A","04-03-2024 02:04:39"
"7079","1Z6X34470303080463","04-03-2024 02:02:21","JFK Junior High","To Vivacity","Not Shipped","demo_adminschooldistrict@vivacitytech.com","N/A","04-03-2024 02:02:21"
"7078","1Z6X34470314240055","04-03-2024 01:51:04","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-03-2024 18:42:07"
"7039","1Z6X34470304418490","04-02-2024 20:51:34","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","04-02-2024 20:52:21"
"7036","1Z6X34470337988992","04-02-2024 20:40:10","GVL","To Vivacity","Not Shipped","Maleja Duque","N/A","04-02-2024 20:40:11"
"7013","1Z6X34470337948838","04-02-2024 04:17:35","GVL","To Vivacity","Not Shipped","Maleja Duque","N/A","04-02-2024 04:17:35"
"6703","1Z6X34470324672972","03-27-2024 17:56:39","Midway Middle","To Vivacity","Not Shipped","demo_adminvivacity@vivacitytech.com","N/A","03-27-2024 17:56:40"
"6698","1Z6X34470310588125","03-27-2024 01:13:53","123 TestMalejawjqnejqe","To Vivacity","Not Shipped","demo_adminvivacity@vivacitytech.com","N/A","03-27-2024 01:13:53"
"6697","1Z6X34470304622518","03-27-2024 01:10:00","Test to address","To Vivacity","Not Shipped","Maleja Duque","N/A","03-27-2024 01:10:01"
"6658","1Z6X34470300047068","03-25-2024 23:42:59","Sejong academy","To Vivacity","Not Shipped","Chase Roberts","N/A","03-25-2024 23:42:59"
"6355","1Z6X34470317999713","03-20-2024 21:44:47","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","03-20-2024 21:44:48"
"6332","1Z6X34470300356895","03-20-2024 19:52:37","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","03-20-2024 19:53:25"
"6127","1Z6X34470321352500","03-15-2024 20:51:06","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","03-15-2024 20:52:24"
"6059","1Z6X34470309599885","03-14-2024 20:13:23","Sejong academy","To Vivacity","Not Shipped","Chase Roberts","N/A","03-14-2024 20:13:24"
"5984","1Z6X34470335322203","03-13-2024 19:47:55","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","03-13-2024 19:48:57"
"5836","1Z6X34470323478461","03-11-2024 21:15:45","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","03-11-2024 21:15:46"
"5823","1Z6X34470333525006","03-11-2024 19:47:53","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","03-11-2024 19:47:54"
"5780","1Z6X34470312714109","03-08-2024 23:20:21","CCDream Test1","To Vivacity","Not Shipped","demo_repairtech@vivacitytech.com","N/A","03-08-2024 23:20:22"
"5725","1Z6X34470322688129","03-08-2024 02:06:48","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","03-08-2024 02:06:49"
"5723","1Z6X34470325532513","03-08-2024 02:00:49","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","03-08-2024 02:00:50"
"5663","1Z6X34470330899725","03-07-2024 21:56:58","Midway Middle","To Vivacity","Not Shipped","demo_adminvivacity@vivacitytech.com","N/A","03-07-2024 21:56:59"
"5636","1Z6X34470317845923","03-07-2024 03:42:50","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","03-07-2024 03:42:51"
"5613","1Z6X34470332376045","03-07-2024 00:47:02","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","03-07-2024 00:47:03"
"5598","1Z6X34470300368864","03-06-2024 22:55:41","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","03-06-2024 22:55:43"
"5538","1Z6X34470333150536","03-06-2024 00:58:31","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","03-06-2024 00:58:32"
"5461","1Z6X34470316027667","03-05-2024 01:12:14","Saint Paul Warehouse","To Vivacity","Not Shipped","demo_adminvivacity@vivacitytech.com","N/A","03-05-2024 01:12:15"
"5442","1Z6X34470310112512","03-05-2024 00:08:06","GVL","To Vivacity","Not Shipped","demo_adminvivacity@vivacitytech.com","N/A","03-05-2024 00:08:07"
"5423","1Z6X34470311892366","03-04-2024 22:23:04","Building One","To Vivacity","Not Shipped","Jeff Metz","N/A","03-04-2024 22:23:05"
"5299","1Z6X34470323830749","03-01-2024 20:42:45","Remote Cloud Campus","To Vivacity","Not Shipped","Conan Malady","N/A","03-01-2024 20:42:46"
"5253","1Z6X34470337356478","02-29-2024 23:53:27","VT Greenville","To Vivacity","Shipping From District","","N/A","02-29-2024 23:53:27"
"5212","1Z6X34470335723468","02-29-2024 19:28:56","VT Greenville","To Vivacity","Not Shipped","Chase Roberts","N/A","02-29-2024 19:28:58"
"5152","1Z6X34470313863536","02-28-2024 22:51:49","Remote Cloud Campus","To Vivacity","Not Shipped","Conan Malady","N/A","02-28-2024 22:51:50"
"4962","1Z6X34470322643471","02-23-2024 22:50:55","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","02-23-2024 22:50:56"
"4950","1Z6X34470309662823","02-23-2024 20:20:58","GVL","To Vivacity","Shipping From District","Chase Roberts","N/A","02-23-2024 20:20:59"
"4866","1Z6X34470335010068","02-22-2024 21:12:58","GVL","To Vivacity","Not Shipped","Chase Roberts","N/A","02-22-2024 21:12:59"
"4849","1Z6X34470323944911","02-22-2024 03:01:49","Building Two","To Vivacity","Not Shipped","demo_adminvivacity@vivacitytech.com","N/A","02-22-2024 03:01:50"
"4833","1Z6X34470336525304","02-22-2024 00:50:37","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","02-22-2024 00:50:38"
"4749","1Z6X34470318709784","02-20-2024 21:48:19","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","02-20-2024 21:48:20"
"4670","1Z6X34470336785846","02-19-2024 22:08:40","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","02-19-2024 22:08:41"
"4642","1Z6X34470311620051","02-17-2024 03:32:24","Building One","To Vivacity","Not Shipped","Conan Malady","N/A","02-17-2024 03:32:25"
"4641","1Z6X34470339091778","02-17-2024 03:29:37","GVL","To Vivacity","Not Shipped","Conan Malady","N/A","02-17-2024 03:29:38"
"4473","1Z6X34470313820233","02-15-2024 01:37:53","Sejong academy","To Vivacity","Not Shipped","","N/A","02-15-2024 01:37:54"
"4390","1Z6X34470313699723","02-14-2024 00:48:45","GVL","To Vivacity","Not Shipped","","N/A","02-14-2024 00:48:46"
"4360","1Z6X34470318382083","02-13-2024 21:16:07","GVL","To Vivacity","Not Shipped","","N/A","02-13-2024 21:16:08"
"4302","1Z6X34470327529881","02-12-2024 22:37:57","GVL","To Vivacity","Not Shipped","","N/A","02-12-2024 22:37:59"
"4248","1Z6X34470309582204","02-09-2024 23:54:06","GVL","To Vivacity","Not Shipped","","N/A","02-09-2024 23:54:07"
"4236","1Z6X34470328746180","02-09-2024 21:54:32","Saint Paul Warehouse","To Vivacity","Not Shipped","","N/A","02-09-2024 21:54:33"
"4235","1Z6X34470327641375","02-09-2024 21:49:51","Saint Paul Warehouse","To Vivacity","Not Shipped","","N/A","02-09-2024 21:54:05"
"4211","1Z6X34470315661956","02-09-2024 20:28:07","Greenville Warehouse","To Vivacity","Not Shipped","","N/A","02-09-2024 20:28:08"
"4185","1Z6X34470310240624","02-09-2024 01:59:16","Building One","To Vivacity","Not Shipped","","N/A","02-09-2024 01:59:18"
"4175","1Z6X34470302964573","02-09-2024 01:25:32","GVL","To Vivacity","Shipping From District","","N/A","02-09-2024 01:25:34"
"3970","1Z6X34470310887918","02-06-2024 02:44:06","Test Maleja","To Vivacity","Not Shipped","","N/A","02-06-2024 02:44:08"
"3848","1Z6X34470303317190","02-02-2024 03:12:13","GVL","To Vivacity","Not Shipped","","N/A","02-02-2024 20:03:09"
"3814","1Z6X34470338040155","02-01-2024 21:56:50","Thompson High School","To Vivacity","Not Shipped","","N/A","02-01-2024 21:56:50"
"3746","1Z6X34470300153407","01-31-2024 02:17:53","Greenville Warehouse","To Vivacity","Not Shipped","","N/A","07-27-2024 14:31:15"
"3632","1Z6X34470309742139","01-29-2024 22:17:34","Little Free Library","To Vivacity","Not Shipped","","N/A","01-29-2024 22:17:34"
"3577","1Z6X34470303574117","01-27-2024 00:09:46","Building One","To Vivacity","Not Shipped","","N/A","01-27-2024 00:09:46"
"3512","1Z6X34470307543518","01-26-2024 01:06:44","Test Maleja","To Vivacity","Recieved By Vivacity","","N/A","01-26-2024 01:06:44"
"3457","1Z6X34470311635787","01-24-2024 02:48:31","GVL","To Vivacity","Not Shipped","","N/A","01-24-2024 02:48:31"
"3448","1Z6X34470330237878","01-24-2024 01:22:42","GVL","To Vivacity","Not Shipped","","N/A","01-24-2024 01:22:42"
"3401","1Z6X34470306269139","01-23-2024 01:35:26","GVL","To Vivacity","Not Shipped","","N/A","01-23-2024 01:35:26"
"3276","1Z6X34470316351959","01-19-2024 02:48:14","GVL","To Vivacity","Not Shipped","","N/A","01-19-2024 02:48:14"
"3213","1Z6X34470317700374","01-18-2024 20:40:42","Building Three","To Vivacity","Not Shipped","","N/A","01-18-2024 20:40:42"
"3174","1Z6X34470300419362","01-17-2024 23:48:44","GVL","To Vivacity","Not Shipped","","N/A","01-17-2024 23:48:44"
"3128","1Z6X34470330789433","01-16-2024 21:52:34","Building One","To Vivacity","Not Shipped","","N/A","01-16-2024 21:52:34"
"3020","1Z6X34470323421520","01-11-2024 21:58:49","GVL","To Vivacity","Not Shipped","","N/A","01-11-2024 21:58:49"
"2998","1Z6X34470335809849","01-11-2024 02:48:23","GVL","To Vivacity","Not Shipped","","N/A","01-11-2024 02:48:23"
"2984","1Z6X34470308875855","01-10-2024 23:58:16","GVL","To Vivacity","Not Shipped","","N/A","01-10-2024 23:58:16"
"2906","1Z6X34470311960596","01-09-2024 02:06:03","GVL","To Vivacity","Not Shipped","","N/A","01-09-2024 02:06:03"
"2873","1Z6X34470333131557","01-08-2024 22:40:05","GVL","To Vivacity","Not Shipped","","N/A","01-08-2024 22:40:05"
"2849","1Z6X34470305685566","01-06-2024 02:50:29","GVL","To Vivacity","Not Shipped","","N/A","01-06-2024 02:50:29"
"2839","1Z6X34470329273886","01-05-2024 23:58:37","GVL","To Vivacity","Not Shipped","","N/A","01-05-2024 23:58:37"
"2834","1Z6X34470306764022","01-05-2024 23:10:55","GVL","To Vivacity","Not Shipped","","N/A","07-27-2024 14:31:15"
"2810","1Z6X34470316327637","01-05-2024 21:03:05","GVL","To Vivacity","Not Shipped","","N/A","01-05-2024 21:03:05"
"2808","1Z6X34470338635683","01-05-2024 20:56:31","GVL","To Vivacity","Not Shipped","","N/A","01-05-2024 20:56:31"
"2799","1Z6X34470304180586","01-05-2024 20:01:59","Adams Elementary","To Vivacity","Not Shipped","","N/A","01-05-2024 20:01:59"
"2798","1Z6X34470335399828","01-05-2024 19:57:09","GVL","To Vivacity","Not Shipped","","N/A","01-05-2024 19:57:09"
"2762","1Z6X34470318691230","01-04-2024 12:47:53","Remote Cloud Campus","To Vivacity","Not Shipped","","N/A","01-04-2024 12:47:53"
"2745","1Z6X34470310798274","01-04-2024 01:52:48","GVL","To Vivacity","Not Shipped","","N/A","01-04-2024 01:52:48"
"2730","1Z6X34470328882881","01-03-2024 23:47:24","GVL","To Vivacity","Not Shipped","","N/A","01-03-2024 23:47:24"
"2611","1Z6X34470321842776","01-03-2024 02:59:54","GVL","To Vivacity","Recieved By Vivacity","","N/A","01-03-2024 02:59:54"
"2606","1Z6X34470325493539","01-03-2024 01:33:53","GVL","To Vivacity","Shipping To District","","N/A","01-03-2024 01:33:53"
"2483","1Z6X34470317513362","12-28-2023 00:28:06","GVL","To Vivacity","Not Shipped","","N/A","12-28-2023 00:28:06"
"2474","1Z6X34470334347662","12-26-2023 21:41:35","GVL2","To Vivacity","Not Shipped","","N/A","12-26-2023 21:41:35"
